Time: 2025-02-20 15:20:22, FPS: 0, Objects Detected: 1
Time: 2025-02-20 15:20:22, FPS: 0, Objects Detected: 2
Time: 2025-02-20 15:20:22, FPS: 14, Objects Detected: 1
Time: 2025-02-20 15:20:22, FPS: 18, Objects Detected: 1
Time: 2025-02-20 15:20:22, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:22, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:23, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:23, FPS: 17, Objects Detected: 1
Time: 2025-02-20 15:20:23, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:23, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:23, FPS: 17, Objects Detected: 1
Time: 2025-02-20 15:20:23, FPS: 20, Objects Detected: 1
Time: 2025-02-20 15:20:23, FPS: 20, Objects Detected: 3
Time: 2025-02-20 15:20:23, FPS: 16, Objects Detected: 2
Time: 2025-02-20 15:20:23, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:23, FPS: 18, Objects Detected: 1
Time: 2025-02-20 15:20:23, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:23, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:23, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:23, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:23, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:23, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:23, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:23, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:23, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:23, FPS: 20, Objects Detected: 1
Time: 2025-02-20 15:20:24, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:24, FPS: 18, Objects Detected: 4
Time: 2025-02-20 15:20:24, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:24, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:24, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:24, FPS: 20, Objects Detected: 3
Time: 2025-02-20 15:20:24, FPS: 16, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:24, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:24, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 4
Time: 2025-02-20 15:20:25, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 20, Objects Detected: 3
Time: 2025-02-20 15:20:25, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:25, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:25, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:25, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:26, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:26, FPS: 20, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 19, Objects Detected: 4
Time: 2025-02-20 15:20:26, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:26, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:26, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:26, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:26, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:27, FPS: 17, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:27, FPS: 20, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 1
Time: 2025-02-20 15:20:27, FPS: 13, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 21, Objects Detected: 1
Time: 2025-02-20 15:20:27, FPS: 20, Objects Detected: 1
Time: 2025-02-20 15:20:27, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:27, FPS: 18, Objects Detected: 2
